,jitt,jita,RAP,PPQ,sPPQ,vfo,shim,shdb,APQ,sAPQ,vAm,ATRI,FTRI,DUV,DVB,DSH,VTI,SPI,NHR
jitt,1.0,0.9365989123352141,0.9981165082493698,0.9936459881713116,0.9738624043013621,0.9359481196048334,0.7576899349289947,0.7306740758521687,0.7601162132777463,0.6599093431782462,0.36218726213235064,0.32095269688008554,0.9165578666783114,,,,-0.11014265680381181,0.3023266342397195,-0.10569813646052426
jita,0.9365989123352141,1.0,0.9360869615571739,0.9421321701943451,0.8944094945775171,0.8419721902627254,0.6463406339079659,0.581925451129985,0.6446684966551989,0.5372778322938274,0.3160649352289363,0.242892823496836,0.8329007350758487,,,,-0.1636268777703572,0.3715861473087376,-0.18301889275805858
RAP,0.9981165082493698,0.9360869615571739,1.0,0.9958376799113725,0.9785113171063801,0.9322142982788505,0.7393471734270363,0.7105447838647704,0.7399945564910329,0.6414779059218517,0.3569628704889684,0.313745547273232,0.9238480037931353,,,,-0.10672614525118246,0.28656079388579464,-0.10212480211410511
PPQ,0.9936459881713116,0.9421321701943451,0.9958376799113725,1.0,0.9857184561784275,0.9308098695840824,0.7154363592438948,0.6859119262529989,0.7200932076920276,0.6202442285460315,0.3453053708452962,0.31267818563042193,0.9302347090196639,,,,-0.11116329906963336,0.2935522456941287,-0.11428342493371295
sPPQ,0.9738624043013621,0.8944094945775171,0.9785113171063801,0.9857184561784275,1.0,0.9361378611394311,0.692321733228083,0.6776071451696926,0.6990022145669889,0.6202827021083986,0.3500752858895041,0.32701304857274754,0.9424347313923935,,,,-0.08467797888388572,0.24801337980459734,-0.09264490752843191
vfo,0.9359481196048334,0.8419721902627254,0.9322142982788505,0.9308098695840824,0.9361378611394311,1.0,0.7665267197381652,0.7520036138758199,0.7744716978365845,0.6935833316981677,0.357874210482721,0.3296121234902952,0.8691791463808031,,,,-0.09116642280669049,0.268749329404048,-0.08125451429248146
shim,0.7576899349289947,0.6463406339079659,0.7393471734270363,0.7154363592438948,0.692321733228083,0.7665267197381652,1.0,0.9771222989396061,0.994351566235071,0.9027631920477441,0.4458018702368994,0.3843817254113018,0.6357208129019374,,,,-0.07724000440981499,0.2694990713342539,-0.0702018832948529
shdb,0.7306740758521687,0.581925451129985,0.7105447838647704,0.6859119262529989,0.6776071451696926,0.7520036138758199,0.9771222989396061,1.0,0.9827204355062907,0.9156749488505256,0.4566328292647298,0.42899189693497947,0.6268999796607633,,,,-0.053941293517945736,0.21587132990511165,-0.03647691510593453
APQ,0.7601162132777463,0.6446684966551989,0.7399945564910329,0.7200932076920276,0.6990022145669889,0.7744716978365845,0.994351566235071,0.9827204355062907,1.0,0.90795309415154,0.43215476019784466,0.3947261985094423,0.639821811947139,,,,-0.08765330531205265,0.28172923935679556,-0.0835749645312747
sAPQ,0.6599093431782462,0.5372778322938274,0.6414779059218517,0.6202442285460315,0.6202827021083986,0.6935833316981677,0.9027631920477441,0.9156749488505256,0.90795309415154,1.0,0.4875899436958,0.4153787932207414,0.5994428317182008,,,,-0.09389584899829098,0.2650861063170199,-0.10066256209966687
vAm,0.36218726213235064,0.3160649352289363,0.3569628704889684,0.3453053708452962,0.3500752858895041,0.357874210482721,0.4458018702368994,0.4566328292647298,0.43215476019784466,0.4875899436958,1.0,0.4704029736422523,0.345640372803662,,,,0.03844227451021489,0.10157102579997389,0.0717647808358745
ATRI,0.32095269688008554,0.242892823496836,0.313745547273232,0.31267818563042193,0.32701304857274754,0.3296121234902952,0.3843817254113018,0.42899189693497947,0.3947261985094423,0.4153787932207414,0.4704029736422523,1.0,0.4040480504980315,,,,0.007599838560727023,0.12397974190517626,-0.043589276964820775
FTRI,0.9165578666783114,0.8329007350758487,0.9238480037931353,0.9302347090196639,0.9424347313923935,0.8691791463808031,0.6357208129019374,0.6268999796607633,0.639821811947139,0.5994428317182008,0.345640372803662,0.4040480504980315,1.0,,,,-0.10161335749922851,0.27062704973346224,-0.12087678548537104
DUV,,,,,,,,,,,,,,,,,,,
DVB,,,,,,,,,,,,,,,,,,,
DSH,,,,,,,,,,,,,,,,,,,
VTI,-0.11014265680381181,-0.1636268777703572,-0.10672614525118246,-0.11116329906963336,-0.08467797888388572,-0.09116642280669049,-0.07724000440981499,-0.053941293517945736,-0.08765330531205265,-0.09389584899829098,0.03844227451021489,0.007599838560727023,-0.10161335749922851,,,,1.0,-0.6673618428474659,0.7987401227733423
SPI,0.3023266342397195,0.3715861473087376,0.28656079388579464,0.2935522456941287,0.24801337980459734,0.268749329404048,0.2694990713342539,0.21587132990511165,0.28172923935679556,0.2650861063170199,0.10157102579997389,0.12397974190517626,0.27062704973346224,,,,-0.6673618428474659,1.0,-0.6932613199545453
NHR,-0.10569813646052426,-0.18301889275805858,-0.10212480211410511,-0.11428342493371295,-0.09264490752843191,-0.08125451429248146,-0.0702018832948529,-0.03647691510593453,-0.0835749645312747,-0.10066256209966687,0.0717647808358745,-0.043589276964820775,-0.12087678548537104,,,,0.7987401227733423,-0.6932613199545453,1.0
